ECU ID: 38 00 03 05
#time,80x01-02_engine-rpm,80x03_coolant_temp,80x04_ambient_temp,80x05_intake_air_temp,80x06_fuel_temp,80x07_map_kpa,80x08_battery_voltage,80x09_throttle_pot,80x0A_idle_switch,80x0B_uk1,80x0C_park_neutral_switch,80x0D-0E_fault_codes,80x0F_idle_set_point,80x10_idle_hot,80x11_uk2,80x12_iac_position,80x13-14_idle_error,80x15_ignition_advance_offset,80x16_ignition_advance,80x17-18_coil_time,80x19_crankshaft_position_sensor,80x1A_uk4,80x1B_uk5,7dx01_ignition_switch,7dx02_throttle_angle,7dx03_uk6,7dx04_air_fuel_ratio,7dx05_dtc2,7dx06_lambda_voltage,7dx07_lambda_sensor_frequency,7dx08_lambda_sensor_dutycycle,7dx09_lambda_sensor_status,7dx0A_closed_loop,7dx0B_long_term_fuel_trim,7dx0C_short_term_fuel_trim,7dx0D_carbon_canister_dutycycle,7dx0E_dtc3,7dx0F_idle_base_pos,7dx10_uk7,7dx11_dtc4,7dx12_ignition_advance2,7dx13_idle_speed_offset,7dx14_idle_error2,7dx14-15_uk10,7dx16_dtc5,7dx17_uk11,7dx18_uk12,7dx19_uk13,7dx1A_uk14,7dx1B_uk15,7dx1C_uk16,7dx1D_uk17,7dx1E_uk18,7dx1F_uk19
15:51:58,0,83,28,34,30,102,12.5,0.62,0,32,8,32,0,35,137,76,512,0,4.5,5.976,0,0,2,64,17,145,138,2,35,0,0,1,0,128,100,0,63,27,3,176,182,193,0,24,183,193,0,101,77,190,104,184,63,27
15:52:00,0,83,29,34,30,102,12.5,0.62,0,32,8,32,0,35,137,76,512,0,4.5,5.976,0,0,2,64,17,145,138,2,35,0,0,1,0,128,100,0,63,27,3,176,182,193,0,24,183,193,0,101,77,190,104,184,63,27
15:52:01,0,82,29,34,30,102,12.5,0.62,0,32,8,32,0,35,137,77,512,0,4.5,5.976,0,0,2,64,17,145,138,2,40,0,0,1,0,128,100,0,63,27,3,176,182,193,0,24,183,193,0,101,77,190,104,184,63,27
15:52:02,0,82,29,34,30,102,12.5,0.62,0,32,8,32,0,35,137,77,512,0,4.5,5.976,0,0,2,64,17,145,138,2,35,0,0,1,0,128,100,0,63,27,3,176,182,193,0,24,183,193,0,101,77,190,104,184,63,27
15:52:03,0,81,29,34,30,102,12.5,0.62,0,32,8,32,0,35,137,77,512,0,4.5,5.976,0,0,2,64,17,145,137,2,40,0,0,1,0,128,100,0,63,27,3,176,182,193,0,24,183,193,0,101,77,190,104,184,63,27
15:52:04,0,81,29,34,30,102,12.5,0.62,0,32,8,32,0,35,137,77,512,0,4.5,6.574,0,0,2,64,17,145,138,2,40,0,0,1,0,128,100,0,63,27,3,176,182,193,0,24,183,193,0,101,77,190,104,184,63,27
15:52:05,1101,83,29,34,30,29,11.3,0.62,0,32,8,32,0,35,137,76,264,0,12.5,5.798,16,0,2,64,17,145,139,2,635,0,0,1,0,128,100,0,63,27,3,176,182,193,0,24,183,193,0,101,77,190,104,184,63,27
15:52:06,983,83,29,34,30,31,12.9,0.6,0,32,8,32,0,35,137,71,128,0,12.5,4.324,16,0,2,64,16,145,139,2,615,0,0,1,0,128,100,0,63,27,3,176,182,193,0,24,183,193,0,101,77,190,104,184,63,27
15:52:07,916,83,29,34,30,31,13.4,0.6,0,32,8,32,0,35,137,64,52,0,12.5,2.8,16,0,2,64,16,145,139,2,445,0,0,1,0,128,100,0,63,27,3,176,182,193,0,24,183,193,0,101,77,190,104,184,63,27
15:52:08,891,83,29,34,30,30,13.7,0.58,0,32,8,32,0,35,137,61,48,0,12.5,2.604,16,0,2,64,15,145,141,2,220,0,20,1,0,128,100,0,63,27,3,176,182,193,0,24,183,193,0,101,77,190,104,184,63,27
