ECU ID: 38 00 03 05
#time,80x01-02_engine-rpm,80x03_coolant_temp,80x04_ambient_temp,80x05_intake_air_temp,80x06_fuel_temp,80x07_map_kpa,80x08_battery_voltage,80x09_throttle_pot,80x0A_idle_switch,80x0B_uk1,80x0C_park_neutral_switch,80x0D-0E_fault_codes,80x0F_idle_set_point,80x10_idle_hot,80x11_uk2,80x12_iac_position,80x13-14_idle_error,80x15_ignition_advance_offset,80x16_ignition_advance,80x17-18_coil_time,80x19_crankshaft_position_sensor,80x1A_uk4,80x1B_uk5,7dx01_ignition_switch,7dx02_throttle_angle,7dx03_uk6,7dx04_air_fuel_ratio,7dx05_dtc2,7dx06_lambda_voltage,7dx07_lambda_sensor_frequency,7dx08_lambda_sensor_dutycycle,7dx09_lambda_sensor_status,7dx0A_closed_loop,7dx0B_long_term_fuel_trim,7dx0C_short_term_fuel_trim,7dx0D_carbon_canister_dutycycle,7dx0E_dtc3,7dx0F_idle_base_pos,7dx10_uk7,7dx11_dtc4,7dx12_ignition_advance2,7dx13_idle_speed_offset,7dx14_idle_error2,7dx14-15_uk10,7dx16_dtc5,7dx17_uk11,7dx18_uk12,7dx19_uk13,7dx1A_uk14,7dx1B_uk15,7dx1C_uk16,7dx1D_uk17,7dx1E_uk18,7dx1F_uk19
16:00:00,919,19,200,27,200,39,13.2,0.52,0,0,1,0,32,20,0,124,213,5,14,3.11,1,0,0,1,9,0,14.6,64,85,255,255,0,0,-7,102,0,255,104,0,255,5,200,0,0,255,0,0,0,0,0,0,0,0,41
16:00:02,919,19,200,27,200,39,13.2,0.54,0,0,1,0,32,20,0,124,199,5,5,2.96,1,0,0,1,10,0,14.6,64,50,255,255,0,0,-7,102,0,255,104,0,255,5,200,0,0,255,0,0,0,0,0,0,0,0,41
16:00:04,1281,80,200,27,200,34,13.2,0.52,1,0,1,0,32,20,0,124,169,5,17.5,2.97,1,0,0,1,16,0,14.6,64,30,255,255,0,0,-7,103,24,255,104,0,255,5,200,0,0,255,0,0,0,0,0,0,0,0,41
16:00:06,1199,80,200,27,200,33,13.2,0.54,1,0,1,0,32,20,0,123,129,5,18,3.06,1,0,0,1,16,0,14.6,64,25,255,255,0,0,-7,103,28,255,102,0,255,5,200,0,0,255,0,0,0,0,0,0,0,0,41
16:00:07,1647,80,200,28,200,34,13.2,0.54,1,0,1,0,32,20,0,123,541,5,18,2.99,1,0,0,1,17,0,14.6,64,20,255,255,0,0,-7,104,28,255,102,0,255,5,200,0,0,255,0,0,0,0,0,0,0,0,41
16:00:09,1651,80,200,28,200,33,13.2,0.54,0,0,1,0,32,20,0,123,391,5,13.5,2.97,1,0,0,1,7,0,14.6,64,30,255,255,0,0,-7,104,0,255,103,0,255,5,200,0,0,255,0,0,0,0,0,0,0,0,41
16:00:10,1040,80,200,28,200,33,13.2,0.54,1,0,1,0,32,20,0,123,91,5,14,2.97,1,0,0,1,14,0,14.6,64,195,255,255,0,0,-7,105,8,255,102,0,255,5,200,0,0,255,0,0,0,0,0,0,0,0,41
16:00:12,1152,80,200,28,200,33,13.2,0.52,1,0,1,0,32,20,0,123,49,5,10,2.98,1,0,0,1,12,0,14.6,64,670,255,255,0,0,-7,104,0,255,103,0,255,5,200,0,0,255,0,0,0,0,0,0,0,0,41
16:00:13,1205,80,200,28,200,48,13.3,0.64,1,0,1,0,32,20,0,123,102,5,12,2.96,1,0,0,1,10,0,14.6,64,65,255,255,0,0,-7,105,0,255,102,0,255,5,200,0,0,255,0,0,0,0,0,0,0,0,41
16:00:15,1204,80,200,28,200,60,13.3,0.76,1,0,1,0,32,20,0,123,33,5,10,2.97,1,0,0,1,9,0,14.6,64,705,255,255,0,0,-7,103,0,255,102,0,255,5,200,0,0,255,0,0,0,0,0,0,0,0,41
